Latitude,Longitude,City,State
32.6847,-97.2956,Fort Worth,Texas
29.9129,-89.8961,Violet,Louisiana
33.5523,-81.8438,Graniteville,South Carolina
42.9041,-85.5683,Kentwood,Michigan
40.4499,-79.8843,Pittsburgh,Pennsylvania
40.6957,-74.1777,Newark,New Jersey
29.5034,-98.5136,San Antonio,Texas
33.8466,-117.942,Anaheim,California
39.2883,-76.5264,Baltimore,Maryland
29.9738,-81.4856,St. Augustine,Florida
39.3248,-76.5506,Baltimore,Maryland
32.8435,-83.6339,Macon,Georgia
32.7424,-97.112,Arlington,Texas
39.9542,-82.9927,Columbus,Ohio
36.0894,-83.9126,Knoxville,Tennessee
42.8111,-85.8417,Hudsonville,Michigan
41.3046,-72.9026,New Haven,Connecticut
29.4904,-98.392,San Antonio,Texas
42.3013,-71.064,Boston,Massachusetts
41.8661,-87.7303,Chicago,Illinois
33.5011,-86.9202,Birmingham,Alabama
36.9941,-84.0918,Corbin,Kentucky
41.7902,-87.6721,Chicago,Illinois
41.7527,-87.6338,Chicago,Illinois
34.7077,-81.6189,Union,South Carolina
44.5463,-91.2777,Osseo,Wisconsin
38.0675,-84.5071,Lexington,Kentucky
37.2941,-120.5,Merced,California
40.8237,-73.9028,The Bronx,New York
33.7884,-84.4366,Atlanta,Georgia
39.9404,-82.8308,Columbus,Ohio
34.6352,-79.0232,Lumberton,North Carolina
38.9653,-92.2993,Columbia,Missouri
38.5043,-121.538,Sacramento,California
40.4629,-86.1337,Kokomo,Indiana
36.7797,-119.782,Fresno,California
34.7283,-80.7592,Lancaster,South Carolina
39.6199,-86.1869,Greenwood,Indiana
41.4752,-81.7322,Cleveland,Ohio
35.1619,-89.9395,Memphis,Tennessee
40.507,-80.052,Pittsburgh,Pennsylvania
33.8292,-83.904,Loganville,Georgia
37.035,-86.3414,Bowling Green,Kentucky
40.1518,-85.672,Anderson,Indiana
41.0376,-85.1094,Fort Wayne,Indiana
33.4762,-101.888,Lubbock,Texas
39.7518,-86.157,Indianapolis,Indiana
42.0978,-77.2662,Addison,New York
30.0456,-89.9827,New Orleans,Louisiana
37.723,-97.2728,Wichita,Kansas
38.9644,-76.4913,Annapolis,Maryland
31.8876,-102.341,Odessa,Texas
38.1017,-122.63,Novato,California
45.7388,-91.5147,Birchwood,Wisconsin
31.3754,-97.2189,Lorena,Texas
30.4381,-87.2625,West Pensacola,Florida
41.2409,-75.868,Wilkes-Barre,Pennsylvania
32.3878,-95.2684,Tyler,Texas
39.0009,-76.9029,Greenbelt,Maryland
42.3926,-83.183,Detroit,Michigan
34.1245,-83.9175,Buford,Georgia
32.3268,-90.1705,Jackson,Mississippi
41.8987,-87.773,Chicago,Illinois
40.6327,-75.3536,Bethlehem,Pennsylvania
42.7724,-91.8914,Maynard,Iowa
41.7321,-87.6654,Chicago,Illinois
36.6036,-82.2776,Bristol,Virginia
41.6161,-85.9841,Elkhart,Indiana
44.6345,-123.108,Albany,Oregon
46.129,-122.931,Longview,Washington
33.5483,-101.846,Lubbock,Texas
40.9263,-74.1748,Paterson,New Jersey
44.0695,-69.0874,Owls Head,Maine
38.1447,-85.7006,Louisville,Kentucky
30.5323,-92.0966,Opelousas,Louisiana
43.0946,-87.9769,Milwaukee,Wisconsin
41.5307,-87.3411,Gary,Indiana
32.4708,-80.9795,Ridgeland,South Carolina
33.4438,-81.7037,Aiken,South Carolina
29.8836,-93.9306,Port Arthur,Texas
39.8381,-87.4105,Hillsdale,Indiana
29.9089,-90.1592,Bridge City,Louisiana
33.8228,-87.3266,Jasper,Alabama
41.7204,-87.7227,Oak Lawn,Illinois
36.1824,-77.8535,Enfield,North Carolina
41.8007,-71.412,Providence,Rhode Island
33.4393,-86.8974,Birmingham,Alabama
36.8298,-76.3195,Portsmouth,Virginia
35.1522,-80.8922,Charlotte,North Carolina
42.2499,-89.0893,Rockford,Illinois
40.6044,-111.836,Sandy,Utah
44.0335,-122.936,Springfield,Oregon
39.0409,-74.8986,Cape May,New Jersey
32.0826,-106.654,Anthony,New Mexico
29.8439,-90.0692,Harvey,Louisiana
30.5976,-85.3764,Alford,Florida
41.0197,-92.4003,Ottumwa,Iowa
36.8447,-84.12,Rockholds,Kentucky
40.0172,-75.0588,Philadelphia,Pennsylvania
33.9423,-118.294,Los Angeles,California
43.0733,-76.1626,Syracuse,New York
26.5626,-81.9599,Cape Coral,Florida
41.884,-71.3868,Central Falls,Rhode Island
40.1026,-84.6334,Greenville,Ohio
29.9738,-90.0537,New Orleans,Louisiana
39.322,-94.9194,Leavenworth,Kansas
32.7913,-83.6685,Macon,Georgia
41.9332,-87.7565,Chicago,Illinois
61.2223,-149.799,Anchorage,Alaska
39.2999,-76.5834,Baltimore,Maryland
37.7673,-122.191,Oakland,California
41.4813,-81.7486,Cleveland,Ohio
40.1587,-84.2221,Piqua,Ohio
33.5736,-81.7178,Aiken,South Carolina
